STT,vehicle_id,license_plate,vehicle_class,time_stamp,status,image_path
1,337,Unknown,Moto,20241218_210012,violating_vehicle,results/violations\images\violation_id337_20241218_210012.jpg
2,371,Unknown,Moto,20241218_210018,violating_vehicle,results/violations\images\violation_id371_20241218_210018.jpg
3,363,Unknown,Moto,20241218_210022,violating_vehicle,results/violations\images\violation_id363_20241218_210022.jpg
4,380,Unknown,Moto,20241218_210024,violating_vehicle,results/violations\images\violation_id380_20241218_210024.jpg
5,362,Unknown,Moto,20241218_210025,violating_vehicle,results/violations\images\violation_id362_20241218_210025.jpg
6,350,Unknown,Moto,20241218_210025,violating_vehicle,results/violations\images\violation_id350_20241218_210025.jpg
7,367,Unknown,Moto,20241218_210026,violating_vehicle,results/violations\images\violation_id367_20241218_210026.jpg
8,390,Unknown,Moto,20241218_210027,violating_vehicle,results/violations\images\violation_id390_20241218_210027.jpg
9,406,Unknown,Moto,20241218_210029,violating_vehicle,results/violations\images\violation_id406_20241218_210029.jpg
10,387,Unknown,Moto,20241218_210029,violating_vehicle,results/violations\images\violation_id387_20241218_210029.jpg
11,336,Unknown,Moto,20241218_210029,violating_vehicle,results/violations\images\violation_id336_20241218_210029.jpg
12,318,Invalid,Truck,20241218_210029,violating_vehicle,results/violations\images\violation_id318_20241218_210029.jpg
13,382,Unknown,Moto,20241218_210030,violating_vehicle,results/violations\images\violation_id382_20241218_210030.jpg
14,394,Unknown,Moto,20241218_210031,violating_vehicle,results/violations\images\violation_id394_20241218_210031.jpg
15,411,Unknown,Truck,20241218_210032,violating_vehicle,results/violations\images\violation_id411_20241218_210032.jpg
16,1,68A25875,Car,20241218_210039,violating_vehicle,results/violations\images\violation_id1_20241218_210039.jpg
17,410,Unknown,Moto,20241218_210041,violating_vehicle,results/violations\images\violation_id410_20241218_210041.jpg
18,474,Unknown,Car,20241218_210048,violating_vehicle,results/violations\images\violation_id474_20241218_210048.jpg
19,82,34A23847,Car,20241218_210054,violating_vehicle,results/violations\images\violation_id82_20241218_210054.jpg
20,487,Unknown,Moto,20241218_210054,violating_vehicle,results/violations\images\violation_id487_20241218_210054.jpg
21,508,Unknown,Moto,20241218_210058,violating_vehicle,results/violations\images\violation_id508_20241218_210058.jpg
22,526,Unknown,Car,20241218_210059,violating_vehicle,results/violations\images\violation_id526_20241218_210059.jpg
23,524,Unknown,Moto,20241218_210100,violating_vehicle,results/violations\images\violation_id524_20241218_210100.jpg
24,520,Invalid,Bus,20241218_210101,violating_vehicle,results/violations\images\violation_id520_20241218_210101.jpg
25,468,14E01233,Bus,20241218_210101,violating_vehicle,results/violations\images\violation_id468_20241218_210101.jpg
26,538,Unknown,Bus,20241218_210102,violating_vehicle,results/violations\images\violation_id538_20241218_210102.jpg
27,453,29B42083,Bus,20241218_210102,violating_vehicle,results/violations\images\violation_id453_20241218_210102.jpg
28,500,29B42083,Bus,20241218_210102,violating_vehicle,results/violations\images\violation_id500_20241218_210102.jpg
29,523,Unknown,Moto,20241218_210102,violating_vehicle,results/violations\images\violation_id523_20241218_210102.jpg
30,547,Unknown,Car,20241218_210102,violating_vehicle,results/violations\images\violation_id547_20241218_210102.jpg
